,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group
ID,1.0,-0.0916720609232,-0.00999588669989,0.0522611769554,0.0526098739521,0.000691274497869,0.241390586881,0.218818443904,0.116132663716,0.183362931767,0.327249021319,0.166439174333,0.0663241441478,0.149014001814,0.336573998698,0.363431944938,-0.00354612760417,-0.019037772851,-0.0237049385777
State,-0.0916720609232,1.0,-0.0165312105252,-0.124294236792,-0.121717245305,-0.0210174660108,-0.0541067997848,-0.0568962308078,-0.0465859118134,-0.0303000303678,-0.0398064465113,-0.0357277650493,0.0687221136136,0.0374948124082,-0.0834320184686,0.00653378770207,-0.0194890046762,0.0160272693487,0.00119975231003
Subscription_End_Date,-0.00999588669989,-0.0165312105252,1.0,0.142612632996,-0.0387058437845,0.777692790718,-0.0180439997693,0.00133585243742,-0.00205465567149,0.00901203228507,0.01737244388,0.00360447615284,0.0127733768413,0.00766998854173,-0.0196617045573,0.0042471213675,0.916986391957,-0.21114207292,-0.17929290411
Expiring_Dollars,0.0522611769554,-0.124294236792,0.142612632996,1.0,0.974849560324,0.127329670138,0.134045286281,-0.0727827359382,0.0283487965574,-0.0964247413382,0.0370316657311,-0.134518660929,-0.132314727189,-0.152612780984,0.326085080816,0.0338962160621,0.162028530686,-0.0184794503957,0.00631245982664
Expiring_Students,0.0526098739521,-0.121717245305,-0.0387058437845,0.974849560324,1.0,-0.0104288506136,0.138968535091,-0.0726009404257,0.0299390139136,-0.0983129618947,0.0336819658767,-0.135767329181,-0.134627187741,-0.154205370859,0.335734216096,0.0344950996581,-0.0372669204485,0.0293096294614,0.0449683795604
Renewal_Date,0.000691274497869,-0.0210174660108,0.777692790718,0.127329670138,-0.0104288506136,1.0,-0.036238292256,-0.0163103112403,-0.0241724103246,0.00394683407377,0.0111946138271,-0.00801823048905,0.0165828667453,0.0151560394424,-0.0473651666744,0.00145263543066,0.703241688367,-0.140014594624,-0.554934874241
Metro_Code,0.241390586881,-0.0541067997848,-0.0180439997693,0.134045286281,0.138968535091,-0.036238292256,1.0,0.410092315564,0.526143312861,0.451949457451,0.270583651367,0.438574473075,0.354379093828,0.376839322596,0.559232448926,0.341885536625,-0.0204312788495,0.0448337399938,0.0591540433187
Apple_Mac_Code,0.218818443904,-0.0568962308078,0.00133585243742,-0.0727827359382,-0.0726009404257,-0.0163103112403,0.410092315564,1.0,0.654025459336,0.61374026338,0.30625424911,0.62197135788,0.538283862912,0.603317599865,0.268188499026,0.304654650661,0.00116913897416,0.0122703273189,-0.00894196554868
PC_Code,0.116132663716,-0.0465859118134,-0.00205465567149,0.0283487965574,0.0299390139136,-0.0241724103246,0.526143312861,0.654025459336,1.0,0.719986038156,0.296841540549,0.711631165263,0.666950436277,0.697117494032,0.369467354159,0.303544952063,-0.0052883445181,0.0400417850324,0.0322974248559
Poverty_Level_Code,0.183362931767,-0.0303000303678,0.00901203228507,-0.0964247413382,-0.0983129618947,0.00394683407377,0.451949457451,0.61374026338,0.719986038156,1.0,0.0967964580271,0.915026926826,0.665128933872,0.724337691633,0.377757756605,0.268103635122,0.00344123222178,0.0237706129073,-0.0202097911691
